regions,iso3,name,forest area 2025,boreal,temperate,tropical,subtropical,1990,2000,2010,2015,2020,2025,1a_forestArea
"North and Central America","ABW","Aruba","0.49","0","0","100","0","0.49","0.49","0.49","0.49","0.49","0.49","27/11/2025 (Date of export)"
"Asia","AFG","Afghanistan","1209.44","0","3","0","97","1209.44","1209.44","1209.44","1209.44","1209.44","1209.44","Area (1000 ha)"
"Africa","AGO","Angola","63262.33","0","0","100","0","77533.29","76013.08","70912.78","68362.63","65812.48","63262.33",
"North and Central America","AIA","Anguilla","5.50","0","0","100","0","5.50","5.50","5.50","5.50","5.50","5.50",
"Europe","ALB","Albania","941.00","0","40","0","60","788.80","769.30","782.07","797.18","941.00","941.00",
"Europe","AND","Andorra","18.22","0","100","0","0","17.69","17.29","18.08","18.29","18.16","18.22",
"Asia","ARE","United Arab Emirates","324.58","0","0","100","0","314.77","314.97","319.55","321.22","322.90","324.58",
"South America","ARG","Argentina","46598.00","0","6.00","73.00","21.00","55989.62","53442.22","49727.45","48444.02","47495.59","46598.00",
"Asia","ARM","Armenia","334.10","0","39","0","61","334.73","332.64","332.29","334.20","334.02","334.10",
"Oceania","ASM","American Samoa","15.85","0","0","100","0","18.07","17.73","16.19","15.85","15.85","15.85",
"North and Central America","ATG","Antigua and Barbuda","7.79","0","0","100","0","10.11","9.45","8.78","8.45","8.12","7.79",
"Oceania","AUS","Australia","133561.59","0","35","15","50","134574.65","132907.29","131171.14","132507.52","133291.13","133561.59",
"Europe","AUT","Austria","3903.91","0.00","100.00","0.00","0.00","3775.67","3838.14","3861.64","3875.73","3889.82","3903.91",
"Asia","AZE","Azerbaijan","1213.66","0","71","0","29","944.74","987.22","1032.49","1077.89","1161.19","1213.66",
"Africa","BDI","Burundi","279.64","0","0","100","0","276.48","193.94","193.94","279.64","279.64","279.64",
"Europe","BEL","Belgium","670.52","0.00","100.00","0.00","0.00","677.40","667.30","689.87","689.30","670.52","670.52",
"Africa","BEN","Benin","3133.27","0","0","100","0","6980.12","5674.27","4264.22","3507.09","3320.18","3133.27",
