iso3,year,forest_area_kha,forest_area_ha,net_change_ha,fao_source
ARG,2015,48444.02,48444020.0,,FRA2025_PCHIP
ARG,2016,48235.2762805945,48235276.280594505,-208743.71940549463,FRA2025_PCHIP
ARG,2017,48041.64086115749,48041640.861157484,-193635.41943702102,FRA2025_PCHIP
ARG,2018,47857.53430142322,47857534.30142322,-184106.55973426253,FRA2025_PCHIP
ARG,2019,47677.377161125965,47677377.161125965,-180157.1402972564,FRA2025_PCHIP
ARG,2020,47495.59,47495590.0,-181787.16112596542,FRA2025_PCHIP
ARG,2021,47312.09440962416,47312094.40962416,-183495.59037584066,FRA2025_PCHIP
ARG,2022,47130.55401082718,47130554.01082718,-181540.3987969756,FRA2025_PCHIP
ARG,2023,46951.00240721812,46951002.40721812,-179551.60360906273,FRA2025_PCHIP
BOL,2015,56687.18,56687180.0,,FRA2025_PCHIP
BOL,2016,56487.45324680999,56487453.24681,-199726.75319000334,FRA2025_PCHIP
BOL,2017,56269.15454801282,56269154.548012815,-218298.69879718125,FRA2025_PCHIP
BOL,2018,56038.908225810635,56038908.22581063,-230246.3222021833,FRA2025_PCHIP
BOL,2019,55803.33860240564,55803338.60240564,-235569.6234049946,FRA2025_PCHIP
BOL,2020,55569.07,55569070.0,-234268.6024056375,FRA2025_PCHIP
BOL,2021,55335.94504991665,55335945.04991665,-233124.95008335263,FRA2025_PCHIP
BOL,2022,55099.435131156235,55099435.131156236,-236509.91876041144,FRA2025_PCHIP
BOL,2023,54859.607687437485,54859607.68743748,-239827.44371875376,FRA2025_PCHIP
BRA,2015,515508.93,515508930.0,,FRA2025_PCHIP
BRA,2016,513189.21251064626,513189212.5106463,-2319717.4893537164,FRA2025_PCHIP
BRA,2017,510683.4931667611,510683493.1667611,-2505719.3438851833,FRA2025_PCHIP
BRA,2018,508023.42756755295,508023427.5675529,-2660065.599208176,FRA2025_PCHIP
BRA,2019,505240.6713122298,505240671.3122298,-2782756.255323112,FRA2025_PCHIP
BRA,2020,502366.88,502366880.0,-2873791.312229812,FRA2025_PCHIP
BRA,2021,499383.30929646053,499383309.2964605,-2983570.7035394907,FRA2025_PCHIP
BRA,2022,496255.4666585182,496255466.6585182,-3127842.637942314,FRA2025_PCHIP
BRA,2023,492991.3853723454,492991385.3723454,-3264081.286172807,FRA2025_PCHIP
CHL,2015,18217.09,18217090.0,,FRA2025_PCHIP
CHL,2016,18214.761270201125,18214761.270201124,-2328.729798875749,FRA2025_PCHIP
CHL,2017,18208.87301060337,18208873.01060337,-5888.259597755969,FRA2025_PCHIP
CHL,2018,18201.072115905055,18201072.115905054,-7800.894698314369,FRA2025_PCHIP
CHL,2019,18193.005480804495,18193005.480804496,-8066.6351005584,FRA2025_PCHIP
CHL,2020,18186.32,18186320.0,-6685.480804495513,FRA2025_PCHIP
CHL,2021,18180.974759195506,18180974.759195507,-5345.240804493427,FRA2025_PCHIP
CHL,2022,18175.84260409495,18175842.60409495,-5132.155100557953,FRA2025_PCHIP
CHL,2023,18170.941069396635,18170941.069396634,-4901.534698314965,FRA2025_PCHIP
COL,2015,60963.76,60963760.0,,FRA2025_PCHIP
COL,2016,60823.184262804156,60823184.26280416,-140575.73719584197,FRA2025_PCHIP
COL,2017,60652.703332533034,60652703.33253303,-170480.93027112633,FRA2025_PCHIP
COL,2018,60468.46227085983,60468462.27085983,-184241.06167320162,FRA2025_PCHIP
COL,2019,60286.606139457755,60286606.139457755,-181856.1314020753,FRA2025_PCHIP
COL,2020,60123.28,60123280.0,-163326.1394577548,FRA2025_PCHIP
COL,2021,59977.35794799284,59977357.94799284,-145922.05200716108,FRA2025_PCHIP
COL,2022,59837.27239149194,59837272.39149194,-140085.5565008968,FRA2025_PCHIP
COL,2023,59703.50586099463,59703505.86099463,-133766.53049731255,FRA2025_PCHIP
ECU,2015,12819.2,12819200.0,,FRA2025_PCHIP
ECU,2016,12754.943728941162,12754943.728941161,-64256.271058838814,FRA2025_PCHIP
ECU,2017,12675.487863145587,12675487.863145586,-79455.86579557508,FRA2025_PCHIP
ECU,2018,12592.34913287943,12592349.13287943,-83138.73026615568,FRA2025_PCHIP
ECU,2019,12517.04426840885,12517044.26840885,-75304.8644705806,FRA2025_PCHIP
ECU,2020,12461.09,12461090.0,-55954.268408849835,FRA2025_PCHIP
ECU,2021,12419.755481414873,12419755.481414873,-41334.51858512685,FRA2025_PCHIP
ECU,2022,12381.98371659173,12381983.71659173,-37771.76482314244,FRA2025_PCHIP
ECU,2023,12349.802211061155,12349802.211061155,-32181.50553057529,FRA2025_PCHIP
GUY,2015,18461.36,18461360.0,,FRA2025_PCHIP
GUY,2016,18451.317438506325,18451317.438506324,-10042.561493676156,FRA2025_PCHIP
GUY,2017,18441.750442675082,18441750.442675084,-9566.995831239969,FRA2025_PCHIP
GUY,2018,18432.602727590685,18432602.727590684,-9147.715084400028,FRA2025_PCHIP
GUY,2019,18423.818008337523,18423818.008337524,-8784.71925316006,FRA2025_PCHIP
GUY,2020,18415.34,18415340.0,-8478.008337523788,FRA2025_PCHIP
GUY,2021,18407.12749470833,18407127.49470833,-8212.50529167056,FRA2025_PCHIP
GUY,2022,18399.18858154687,18399188.58154687,-7938.91316146031,FRA2025_PCHIP
GUY,2023,18391.540921031243,18391540.921031244,-7647.66051562503,FRA2025_PCHIP
PER,2015,69554.46,69554460.0,,FRA2025_PCHIP
PER,2016,69353.30558000051,69353305.5800005,-201154.41999949515,FRA2025_PCHIP
PER,2017,69184.47979000024,69184479.79000024,-168825.79000025988,FRA2025_PCHIP
PER,2018,69026.43020999974,69026430.20999974,-158049.58000050485,FRA2025_PCHIP
PER,2019,68857.6044199995,68857604.4199995,-168825.79000024498,FRA2025_PCHIP
PER,2020,68656.45,68656450.0,-201154.41999949515,FRA2025_PCHIP
PER,2021,68414.58536000067,68414585.36000067,-241864.63999933004,FRA2025_PCHIP
