iso3,year,threshold,hansen_loss_ha,protected_loss_ha,viirs_fire_count,viirs_fire_unique_pxday,hansen_gain_2000_2012_ha,fao_forest_area_kha,fao_forest_area_ha,fao_net_change_ha,fao_source,protected_loss_share,discrepancy_ratio,gdp_per_capita_ppp_const2017,agriculture_value_added_share_gdp_pct
ARG,2015,30,178037.76838627082,8683.018915644241,22983.0,22971.5,626064.56867984,48444.02,48444020.0,,FRA2025_PCHIP,0.048770656891214,,25966.67508085985,6.745
ARG,2016,30,228782.37337138064,3545.8361421970385,50293.5,50266.5,626064.56867984,48235.2762805945,48235276.280594505,-208743.71940549463,FRA2025_PCHIP,0.015498729600296218,1.0959964401465894,25548.75869278498,6.668
ARG,2017,30,233268.76917643537,1283.9051982298274,54466.5,54434.5,627399.4990173994,48041.64086115749,48041640.861157484,-193635.41943702105,FRA2025_PCHIP,0.005503973818538613,1.2046802690057687,25130.84230471011,6.591
ARG,2018,30,171856.47024200478,725.4188287789218,50329.0,50298.0,627940.5031489173,47857.53430142322,47857534.30142322,-184106.55973426253,FRA2025_PCHIP,0.004221073712019115,0.9334619607799994,24712.92591663524,6.514
ARG,2019,30,144626.01499342924,1048.272853019749,49060.5,49036.5,627940.5031489173,47677.377161125965,47677377.161125965,-180157.1402972564,FRA2025_PCHIP,0.007248162462800174,0.8027770353969796,24295.00952856037,6.437
ARG,2020,30,199259.05108904964,1769.6402627521638,94346.0,94300.5,627940.5031489173,47495.59,47495590.0,-181787.16112596545,FRA2025_PCHIP,0.008881103533717547,1.096111792795848,23877.0931404855,6.36
ARG,2021,30,200010.79528917198,1302.1818445126787,96889.5,96839.5,627940.5031489173,47312.09440962416,47312094.40962416,-183495.59037584063,FRA2025_PCHIP,0.006510557805792472,1.0900032795311563,23877.0931404855,6.36
ARG,2022,30,231847.1851123075,11078.564260401627,80344.5,80298.0,627940.5031489173,47130.55401082718,47130554.01082718,-181540.3987969756,FRA2025_PCHIP,0.047783906692829316,1.2771106962896568,23877.0931404855,6.36
ARG,2023,30,215765.37953389762,2079.9351584236,78181.5,78130.5,627940.5031489173,46951.00240721812,46951002.40721812,-179551.60360906273,FRA2025_PCHIP,0.009639800244676575,1.201690072363169,23877.0931404855,6.36
BOL,2015,30,164930.08782148673,9007.176104668486,43582.5,43558.0,173066.67078120078,56687.18,56687180.0,,FRA2025_PCHIP,0.05461208578520536,,8286.32687225115,12.195
BOL,2016,30,468542.72506127885,15817.938227517765,120746.5,120652.0,173066.67078120078,56487.45324680999,56487453.24681,-199726.7531900033,FRA2025_PCHIP,0.033759863042263645,2.3459186993118872,8429.256628207177,12.556000000000001
BOL,2017,30,462381.6915513206,24424.362238844093,139617.5,139504.0,173066.67078120078,56269.15454801282,56269154.548012815,-218298.69879718125,FRA2025_PCHIP,0.052822944085218364,2.118114739570271,8572.186384163202,12.917
BOL,2018,30,301830.80783522513,11768.828779540614,122823.5,122739.0,173066.67078120078,56038.90822581064,56038908.22581063,-230246.3222021833,FRA2025_PCHIP,0.038991476264296485,1.3109039264921776,8715.116140119228,13.278
BOL,2019,30,860438.6990325182,154869.21190121543,200397.0,200267.5,173066.67078120078,55803.33860240564,55803338.60240564,-235569.6234049946,FRA2025_PCHIP,0.17998866400982566,3.6525876579309204,8858.045896075255,13.639
BOL,2020,30,433393.7999176144,84039.56392105353,241301.5,241142.0,173066.67078120078,55569.07,55569070.0,-234268.6024056375,FRA2025_PCHIP,0.1939103972807847,1.8499867052913492,9000.97565203128,14.0
BOL,2021,30,561970.6780798277,81690.86277752984,210647.5,210506.0,173066.67078120078,55335.94504991665,55335945.04991665,-233124.95008335265,FRA2025_PCHIP,0.14536499138470296,2.41059859907272,9000.97565203128,14.0
BOL,2022,30,594041.8965121163,52512.54943600883,223819.5,223633.5,173066.67078120078,55099.43513115624,55099435.13115624,-236509.91876041144,FRA2025_PCHIP,0.08839873036621376,2.5116997190882757,9000.97565203128,14.0
BOL,2023,30,695201.944207289,85257.76173025266,232581.0,232378.5,173066.67078120078,54859.607687437485,54859607.68743748,-239827.44371875376,FRA2025_PCHIP,0.12263740405310385,2.898758930285535,9000.97565203128,14.0
BRA,2015,30,2163277.9010137217,175237.9249203618,529508.0,529212.0,7071475.226547899,515508.93,515508930.0,,FRA2025_PCHIP,0.0810057389474762,,17694.83691765625,4.915
BRA,2016,30,5242970.135933837,648676.8227098376,903945.0,903444.0,7071475.226547899,513189.2125106463,513189212.5106463,-2319717.4893537164,FRA2025_PCHIP,0.12372315803669942,2.260176146447278,17621.37267911432,5.074
BRA,2017,30,4397076.816430478,545752.4018162494,841789.0,841306.0,7071475.226547899,510683.4931667611,510683493.1667611,-2505719.343885184,FRA2025_PCHIP,0.12411709519764269,1.754816167724792,17547.90844057239,5.233
BRA,2018,30,2875547.1385949384,284850.0345621987,731810.0,731359.0,7071475.226547899,508023.42756755295,508023427.5675529,-2660065.599208176,FRA2025_PCHIP,0.09905942098427337,1.0810060997935182,17474.44420203046,5.3919999999999995
BRA,2019,30,2645039.3459105436,277963.0434628776,686030.0,685558.5,7071475.226547899,505240.6713122298,505240671.3122298,-2782756.255323112,FRA2025_PCHIP,0.10508843427702964,0.9505106100654231,17400.979963488528,5.551
BRA,2020,30,3237200.5934739285,410899.21662131476,926717.5,926052.5,7071475.226547899,502366.88,502366880.0,-2873791.312229812,FRA2025_PCHIP,0.12693041557253873,1.126456392187414,17327.5157249466,5.71
BRA,2021,30,2943574.0660381555,302026.192186641,882856.0,882243.5,7071475.226547899,499383.3092964605,499383309.2964605,-2983570.7035394907,FRA2025_PCHIP,0.10260526333320605,0.9865943724900214,17327.5157249466,5.71
BRA,2022,30,3254533.723785576,323940.7461518247,828388.5,827815.0,7071475.226547899,496255.4666585182,496255466.6585182,-3127842.637942314,FRA2025_PCHIP,0.09953522490313192,1.0405043029679417,17327.5157249466,5.71
BRA,2023,30,2748558.806644466,245718.92201147252,860817.0,860209.5,7071475.226547899,492991.3853723454,492991385.3723454,-3264081.286172807,FRA2025_PCHIP,0.08939918673650449,0.8420619971346361,17327.5157249466,5.71
CHL,2015,30,104140.81671846147,5206.5302992536635,56.5,56.5,1414216.2586051635,18217.09,18217090.0,,FRA2025_PCHIP,0.04999509763140431,,25182.66555742195,3.83
CHL,2016,30,111672.60953310021,3238.962718181754,209.5,209.5,1411718.1787578785,18214.761270201125,18214761.270201124,-2328.729798875749,FRA2025_PCHIP,0.029004092693130024,47.9543009184719,25395.84477459406,3.872
CHL,2017,30,209975.47769894262,3936.7282696983502,154.5,154.5,1414216.2586051635,18208.87301060337,18208873.01060337,-5888.259597755969,FRA2025_PCHIP,0.01874851441149108,35.66002385135411,25609.02399176617,3.914
CHL,2018,30,74217.2767240133,1604.306567553473,2.5,2.5,1414216.2586051635,18201.07211590505,18201072.11590505,-7800.894698314369,FRA2025_PCHIP,0.021616349162463855,9.513944181306575,25822.20320893828,3.956
CHL,2019,30,75934.64213167639,3839.2271135428437,4.5,4.5,1414216.2586051635,18193.00548080449,18193005.480804496,-8066.6351005584,FRA2025_PCHIP,0.05055962609115,9.413422224394399,26035.38242611039,3.998
CHL,2020,30,68806.72720766118,4970.385626084528,14.5,14.5,1414216.2586051635,18186.32,18186320.0,-6685.480804495513,FRA2025_PCHIP,0.07223691385703791,10.291963916999585,26248.5616432825,4.04
CHL,2021,30,68808.77245584241,3774.6126736087886,15.0,15.0,1414216.2586051635,18180.974759195506,18180974.759195507,-5345.240804493427,FRA2025_PCHIP,0.05485656172737455,12.872904135207332,26248.5616432825,4.04
CHL,2022,30,65678.3240417663,1946.2871573338803,14.0,14.0,1414216.2586051635,18175.84260409495,18175842.60409495,-5132.155100557953,FRA2025_PCHIP,0.02963363005572726,12.797416047427317,26248.5616432825,4.04
CHL,2023,30,105296.53185481002,1233.6912223840175,21.0,21.0,1414216.2586051635,18170.941069396635,18170941.069396637,-4901.534698314965,FRA2025_PCHIP,0.0117163519125693,21.4823597782565,26248.5616432825,4.04
COL,2015,30,129999.93111113296,4146.800895112663,22256.0,22248.0,489706.1653188853,60963.76,60963760.0,,FRA2025_PCHIP,0.031898485327409055,,14949.2820979967,6.895
COL,2016,30,268137.858094029,11709.836456957879,50059.5,50038.5,489706.1653188853,60823.18426280416,60823184.26280416,-140575.73719584197,FRA2025_PCHIP,0.04367095545624722,1.9074262987536383,15131.72566422326,7.01
COL,2017,30,395387.4652964013,13934.624247954658,45149.5,45129.0,489706.1653188853,60652.70333253304,60652703.33253303,-170480.93027112633,FRA2025_PCHIP,0.035242959049064944,2.319247464614325,15314.169230449821,7.125
COL,2018,30,332024.5021775628,24477.723636558356,44659.5,44642.5,489706.1653188853,60468.46227085983,60468462.27085983,-184241.0616732016,FRA2025_PCHIP,0.07372264238338638,1.8021200006244686,15496.61279667638,7.24
COL,2019,30,252844.89359156787,14440.300654485525,51222.0,51204.5,489706.1653188853,60286.60613945776,60286606.13945776,-181856.1314020753,FRA2025_PCHIP,0.057111300328697226,1.3903567157300833,15679.05636290294,7.3549999999999995
COL,2020,30,308445.1303041294,21130.271674024716,53756.5,53732.5,489706.1653188853,60123.28,60123280.0,-163326.1394577548,FRA2025_PCHIP,0.06850577168519438,1.8885227516438692,15861.4999291295,7.47
COL,2021,30,249232.97573310355,13293.821021937429,45985.5,45964.0,489706.1653188853,59977.35794799284,59977357.94799284,-145922.05200716108,FRA2025_PCHIP,0.05333893311201886,1.7079870540805753,15861.4999291295,7.47
COL,2022,30,247840.5346204077,17397.06984271967,44246.0,44230.5,489706.1653188853,59837.27239149194,59837272.39149194,-140085.5565008968,FRA2025_PCHIP,0.07019461069741882,1.7692083381831092,15861.4999291295,7.47
COL,2023,30,179449.35237071334,6068.099388394175,46350.0,46334.0,489706.1653188853,59703.50586099463,59703505.86099463,-133766.53049731255,FRA2025_PCHIP,0.033815108877397686,1.3415116001257026,15861.4999291295,7.47
ECU,2015,30,28286.024618482814,603.1171356724018,1595.0,1594.5,94565.02952618677,12819.2,12819200.0,,FRA2025_PCHIP,0.021322089045991623,,12053.0121173009,9.785
ECU,2016,30,40250.592872691304,1103.8030543741925,5101.5,5101.0,94565.02952618677,12754.943728941162,12754943.72894116,-64256.271058838814,FRA2025_PCHIP,0.027423274431395677,0.6264072316900283,12130.474968797,9.796
ECU,2017,30,66941.75766305556,1681.1039104567385,5166.5,5166.5,94565.02952618677,12675.487863145589,12675487.863145586,-79455.86579557508,FRA2025_PCHIP,0.025112933528253053,0.8425024004556698,12207.9378202931,9.807
ECU,2018,30,35920.11179830938,857.0850446523301,4309.5,4308.5,94565.02952618677,12592.34913287943,12592349.13287943,-83138.73026615568,FRA2025_PCHIP,0.023860867957896218,0.43205028129870093,12285.4006717892,9.818
ECU,2019,30,34958.484735756196,767.3953451134353,4144.0,4143.0,94565.02952618677,12517.04426840885,12517044.26840885,-75304.8644705806,FRA2025_PCHIP,0.021951619211016,0.46422611582301504,12362.8635232853,9.829
