iso3,year,threshold,hansen_loss_ha,protected_loss_ha,viirs_fire_count,viirs_fire_unique_pxday,hansen_gain_2000_2012_ha,fao_forest_area_kha,fao_forest_area_ha,fao_net_change_ha,fao_source,protected_loss_share,discrepancy_ratio,gdp_per_capita_ppp_const2017,agriculture_value_added_share_gdp_pct
ARG,2015,10,183960.61171715864,9043.802541414214,25469.5,25457.5,626064.56867984,48444.02,48444020.0,,FRA2025_PCHIP,0.049161624637991286,,25966.67508085985,6.745
ARG,2015,30,178037.76838627082,8683.018915644241,22983.0,22971.5,626064.56867984,48444.02,48444020.0,,FRA2025_PCHIP,0.048770656891214,,25966.67508085985,6.745
ARG,2015,50,117439.65592733337,8030.375665484266,15333.0,15322.0,626064.56867984,48444.02,48444020.0,,FRA2025_PCHIP,0.068378739720194,,25966.67508085985,6.745
ARG,2016,10,238176.04560590594,3656.666741567492,55361.5,55332.5,626064.56867984,48235.2762805945,48235276.280594505,-208743.71940549463,FRA2025_PCHIP,0.01535278970756755,1.1409974215475083,25548.75869278498,6.668
ARG,2016,30,228782.37337138064,3545.8361421970385,50293.5,50266.5,626064.56867984,48235.2762805945,48235276.280594505,-208743.71940549463,FRA2025_PCHIP,0.015498729600296218,1.0959964401465894,25548.75869278498,6.668
ARG,2016,50,140969.08046863184,3261.3458113691136,33577.5,33555.5,626064.56867984,48235.2762805945,48235276.280594505,-208743.71940549463,FRA2025_PCHIP,0.02313518539333043,0.6753213024569744,25548.75869278498,6.668
ARG,2017,10,243123.2553726182,1348.2511625656557,60180.0,60145.5,627399.4990173994,48041.64086115749,48041640.861157484,-193635.41943702105,FRA2025_PCHIP,0.005545545861087144,1.255572229912683,25130.84230471011,6.591
ARG,2017,30,233268.76917643537,1283.9051982298274,54466.5,54434.5,627399.4990173994,48041.64086115749,48041640.861157484,-193635.41943702105,FRA2025_PCHIP,0.005503973818538613,1.2046802690057687,25130.84230471011,6.591
ARG,2017,50,158631.2753624483,1199.7348784932992,36194.0,36172.0,627399.4990173994,48041.64086115749,48041640.861157484,-193635.41943702105,FRA2025_PCHIP,0.007563041246135655,0.8192265434890765,25130.84230471011,6.591
ARG,2018,10,177804.1482044871,753.1253563494508,56311.5,56278.5,627940.5031489173,47857.53430142322,47857534.30142322,-184106.55973426253,FRA2025_PCHIP,0.00423570183235154,0.9657675884071037,24712.92591663524,6.514
